"table","quantity","published","recomputed","rel_diff","matches"
"S5 dbRDA","habitat F",1.40843812517542,1.40843812517542,6.30612310064742e-16,TRUE
"S5 dbRDA","habitat variance",22.7176441359401,22.7176441359402,2.97132746218256e-15,TRUE
"S5 dbRDA","residual variance",435.501127601178,435.501127601178,-6.52620800018501e-16,TRUE
"S7 PERMANOVA","site R2",0.0557573508784833,0.0557573508784833,0,TRUE
"S7 PERMANOVA","habitat R2",0.101522147645743,0.101522147645743,-3.00733720524992e-15,TRUE
"S7 PERMANOVA","site:habitat R2",0.0932650210330841,0.0932650210330841,-1.48799492608183e-16,TRUE
"S7 PERMANOVA","site F",1.78553157059197,1.78553157059197,2.23843865573627e-15,TRUE
"S7 PERMANOVA","habitat F",1.62553454279806,1.62553454279806,2.73195800001669e-15,TRUE
"S7 PERMANOVA","site:habitat F",1.493324529078,1.493324529078,2.0816804441495e-15,TRUE
"S8 betadisper","habitat F",11.3038097015824,11.3038097015824,-2.20005435407517e-15,TRUE
"S9 betadisper","site F",0.314232684549578,0.314232684549586,2.50851800669225e-14,TRUE
"S8 dispersion","forest mean distance",23.6314318110262,23.6314318110262,1.35304637335963e-15,TRUE
"S8 dispersion","paramo mean distance",17.1467534294196,17.1467534294196,2.69352901203816e-15,TRUE
"S8 dispersion","subparamo mean distance",17.7939105858334,17.7939105858334,-7.98635839303135e-16,TRUE
"S10 centroid (positional pairing)","habitat F",14.7185886325311,14.718588632531,-3.98270358413622e-15,TRUE
"S10 centroid (positional pairing)","residual mean square",12.7982764873005,12.7982764873005,-2.08194850435084e-15,TRUE
"S10 centroid","habitat F",14.7185886325311,14.718588632531,-3.98270358413622e-15,TRUE
"S10 centroid","site F",3.59674307226019,3.59674307226021,5.67961159379279e-15,TRUE
"S10 centroid","habitat x site F",1.27938244528036,1.27938244528036,-1.38844865814224e-15,TRUE
"S10 centroid","residual mean square",12.7982764873005,12.7982764873005,-2.08194850435084e-15,TRUE
"S10 centroid","habitat sum of squares",376.745133643941,376.74513364394,-2.41408480310322e-15,TRUE
