"diversity","q","contrast","site","ratio","SE","df","lower.CL","upper.CL","null","t.ratio","p.value"
"TD",0,"forest / subparamo","BEL",1.39521347325461,0.251118087592846,50,0.971937350272126,2.00282521852482,1,1.85041335493675,0.0701668521258242
"TD",0,"forest / subparamo","DOM",1.28532921977302,0.267129027282366,50,0.778037776514081,2.12338173424465,1,1.20779375056929,0.454199180836966
"TD",0,"forest / paramo","DOM",2.04186652835315,0.424359620219106,50,1.23598628990863,3.37319188218273,1,3.43485963697823,0.00338441099704268
"TD",0,"subparamo / paramo","DOM",1.58859418812071,0.330156362814225,50,0.961610668220006,2.62437967665468,1,2.22706588640894,0.0763626055860411
"TD",0,"subparamo / paramo","MA",0.803474718901432,0.166985560434092,50,0.529275111693082,1.21972790643534,1,-1.05283323698909,0.297478974087241
"TD",0,"forest / subparamo","NV",1.69869621244572,0.305740556873717,50,1.09979139883943,2.62374194344715,1,2.94391075241207,0.013372106667659
"TD",0,"forest / paramo","NV",1.70931118163925,0.307651096597447,50,1.106663876527,2.64013742352029,1,2.97852160327875,0.0121905268291853
"TD",0,"subparamo / paramo","NV",1.00624889201245,0.209127967832795,50,0.609104374597023,1.66233715419655,1,0.0299738760971365,0.999504796328517
"TD",1,"forest / subparamo","BEL",1.19415938470594,0.339107444522263,50,0.675075050909473,2.11238237016776,1,0.624859828311477,0.534904384965575
"TD",1,"forest / subparamo","DOM",1.31462057188803,0.431067043038102,50,0.595428620536197,2.90249273955777,1,0.834236684095984,0.683711633033964
"TD",1,"forest / paramo","DOM",1.99447575463208,0.653993086937382,50,0.903354148465754,4.4035149919567,1,2.10544830596678,0.0989539775925724
"TD",1,"subparamo / paramo","DOM",1.51714935646235,0.497476687131201,50,0.68715960162435,3.3496471043599,1,1.2712116218708,0.417889027792022
"TD",1,"subparamo / paramo","MA",0.558554511934908,0.18315128104954,50,0.289090898513025,1.07918701144715,1,-1.7761484148674,0.0817935608284346
"TD",1,"forest / subparamo","NV",1.58379752670957,0.449753641600712,50,0.797649836485763,3.14475662235797,1,1.61926521714236,0.247054146138109
"TD",1,"forest / paramo","NV",1.7750666451282,0.50406865414733,50,0.893978930614578,3.52453674996631,1,2.02075774737711,0.117711953008585
"TD",1,"subparamo / paramo","NV",1.12076614288949,0.367501739653089,50,0.507626498987421,2.47449010158649,1,0.347702730612983,0.93561816678296
"TD",2,"forest / subparamo","BEL",1.01939250567774,0.313150547074439,50,0.550015382347691,1.88933094233908,1,0.0625237179420166,0.95039505243904
"TD",2,"forest / subparamo","DOM",1.27072498217089,0.450746823404112,50,0.539452042821576,2.9933003346644,1,0.675434456420552,0.778785100250883
"TD",2,"forest / paramo","DOM",1.76287466289991,0.625320321478395,50,0.748380925442341,4.15260059609031,1,1.5983078839657,0.255810442492138
"TD",2,"subparamo / paramo","DOM",1.38729834357096,0.492097291114954,50,0.588940121538977,3.26789876200911,1,0.922873427545148,0.628530006148822
"TD",2,"subparamo / paramo","MA",0.531084760759832,0.188384404359364,50,0.260460974726746,1.08289168236137,1,-1.78405588545421,0.0804834698762061
"TD",2,"forest / subparamo","NV",1.78752884116792,0.549116882265982,50,0.851150009260399,3.75404960728794,1,1.89077734360577,0.151910032195821
