"diversity","q","contrast","site","ratio","SE","df","lower.CL","upper.CL","null","t.ratio","p.value"
"TD",2,"forest / paramo","NV",1.54264659563918,0.473890697328358,50,0.734546841384622,3.23976414431419,1,1.41116199799116,0.342945683053472
"TD",2,"subparamo / paramo","NV",0.863005149965165,0.306121966110738,50,0.366365576852757,2.03288173322496,1,-0.415359073347105,0.909463144855239
"PD",0,"forest / subparamo","BEL",1.28035710375329,0.196253994279434,50,0.941073287885981,1.74196243186762,1,1.61233002740596,0.113185146225478
"PD",0,"forest / subparamo","DOM",1.27161383028464,0.225067092276165,50,0.829255998224251,1.949942764157,1,1.35760429676242,0.370712044253606
"PD",0,"forest / paramo","DOM",1.84118470665588,0.325877305201711,50,1.20068956901121,2.82334519389156,1,3.44877079545647,0.00324928964569915
"PD",0,"subparamo / paramo","DOM",1.44791182889522,0.256270651860373,50,0.944225000087049,2.22028506347684,1,2.09116649869405,0.101934376266136
"PD",0,"subparamo / paramo","MA",0.919554066725832,0.162754882858091,50,0.644443654623747,1.31210801063081,1,-0.473839687131323,0.637676840122791
"PD",0,"forest / subparamo","NV",1.52212058825241,0.233311663085096,50,1.05113149667663,2.20414961639631,1,2.74075320347396,0.0226825370951557
"PD",0,"forest / paramo","NV",1.577770471118,0.241841714397764,50,1.08956166122328,2.28473499768434,1,2.97501803235791,0.0123056172030639
"PD",0,"subparamo / paramo","NV",1.03656075825732,0.183464280013635,50,0.675971120978099,1.58950311960709,1,0.20287929302672,0.97757490537501
"PD",1,"forest / subparamo","BEL",1.11291158253372,0.137861473546827,50,0.867768919385672,1.42730646704256,1,0.863612324410493,0.391924863147059
"PD",1,"forest / subparamo","DOM",1.69335842496692,0.242214710092035,50,1.19867491092814,2.39219385445062,1,3.68233306185222,0.00161772670125326
"PD",1,"forest / paramo","DOM",1.80860433093222,0.258699261319413,50,1.28025384544726,2.5550008207349,1,4.14264179079652,0.000383107278336015
"PD",1,"subparamo / paramo","DOM",1.06805759741477,0.152772890550013,50,0.756044217556763,1.50883639462497,1,0.460308728944302,0.890037203251959
"PD",1,"subparamo / paramo","MA",0.913479679121122,0.130662364441604,50,0.685371292638238,1.21750813483178,1,-0.632657812966477,0.529839945248121
"PD",1,"forest / subparamo","NV",0.903057608099748,0.111865897079503,50,0.669530750917718,1.2180367256157,1,-0.823162568427962,0.690541228031665
"PD",1,"forest / paramo","NV",1.08287732014053,0.134140991403051,50,0.802849850112078,1.46057608444597,1,0.642760387240053,0.797284943680489
"PD",1,"subparamo / paramo","NV",1.19912319040107,0.171520259175671,50,0.8488214085414,1.69399170578001,1,1.26952651959927,0.418836508252721
"PD",2,"forest / subparamo","BEL",1.12268716321136,0.0853126250787993,50,0.963768001168183,1.30781107581057,1,1.52290524791828,0.134082558115146
"PD",2,"forest / subparamo","DOM",1.61666245573784,0.141854549697723,50,1.30789893146131,1.99831763213702,1,5.474524017247,4.19915087690459e-06
"PD",2,"forest / paramo","DOM",1.55415250167743,0.136369594348267,50,1.25732764378705,1.92105057930255,1,5.02511618969184,2.00977469064778e-05
"PD",2,"subparamo / paramo","DOM",0.961333948321401,0.0843525461139183,50,0.777730465209081,1.18828180396247,1,-0.449407827555158,0.894890103799473
"PD",2,"subparamo / paramo","MA",1.03028047771783,0.0904022807669615,50,0.863802978788047,1.22884255881564,1,0.339973422529044,0.735300648986932
"PD",2,"forest / subparamo","NV",0.972172338365751,0.073875053472365,50,0.809151430423425,1.1680373042027,1,-0.3713950599236,0.926900682433085
"PD",2,"forest / paramo","NV",0.919466587230284,0.0698699609288154,50,0.765283761863245,1.10471284922413,1,-1.10490775273236,0.515567238700129
"PD",2,"subparamo / paramo","NV",0.945785588567489,0.082988250454301,50,0.76515165938852,1.16906284991502,1,-0.635240625970721,0.801475241185379
