"diversity","q","plant","site","habitat","estimate","cooks_d","interaction_p_without_flagged","interaction_F_without_flagged"
"PD",1,"DOM_3_5","DOM","forest",4.00179158579112,0.400623193065872,0.0292222976289184,2.95306842093603
"PD",1,"DOM_2_2","DOM","subparamo",1.81062006678027,0.0913054248702931,0.0292222976289184,2.95306842093603
"PD",2,"NV_1_3","NV","paramo",1.20548592314958,0.254767556196558,0.000386507408003424,6.29126615773881
"PD",2,"DOM_3_5","DOM","forest",1.58460778693864,0.114083979047023,0.000386507408003424,6.29126615773881
"PD",2,"NV_2_4","NV","subparamo",0.646090420799068,0.0708080376894367,0.000386507408003424,6.29126615773881
