"genus","site","habitat","n_plants","plants_present","mean_rel_abund"
"Archaeorhizomyces","DOM","paramo",5,3,0.00201465496402512
"Arcopilus","DOM","paramo",5,0,0
"Arrhenia","DOM","paramo",5,0,0
"Arthrinium","DOM","paramo",5,0,0
"Arthroderma","DOM","paramo",5,0,0
"Ascocoryne","DOM","paramo",5,0,0
"Aspergillus","DOM","paramo",5,0,0
"Asterostroma","DOM","paramo",5,0,0
"Athelia","DOM","paramo",5,0,0
"Athelopsis","DOM","paramo",5,2,0.0138577305100655
"Atheniella","DOM","paramo",5,0,0
"Atractospora","DOM","paramo",5,0,0
"Aureobasidium","DOM","paramo",5,0,0
"Auricularia","DOM","paramo",5,0,0
"Bandoniozyma","DOM","paramo",5,0,0
"Bannoa","DOM","paramo",5,0,0
"Basidiobolus","DOM","paramo",5,0,0
"Basidiodendron","DOM","paramo",5,0,0
"Beauveria","DOM","paramo",5,0,0
"Bimuria","DOM","paramo",5,0,0
"Bjerkandera","DOM","paramo",5,0,0
"Blastenia","DOM","paramo",5,0,0
"Botryobasidium","DOM","paramo",5,0,0
"Botrytis","DOM","paramo",5,0,0
"Brocchiosphaera","DOM","paramo",5,0,0
"Brunneochlamydosporium","DOM","paramo",5,0,0
"Bryochiton","DOM","paramo",5,0,0
"Cadophora","DOM","paramo",5,0,0
"Calophoma","DOM","paramo",5,0,0
"Calycina","DOM","paramo",5,0,0
"Calyptrozyma","DOM","paramo",5,4,0.000670343169443397
"Camarophyllopsis","DOM","paramo",5,0,0
"Camposporium","DOM","paramo",5,0,0
"Camptophora","DOM","paramo",5,2,0.000157857829348431
"Candida","DOM","paramo",5,0,0
"Capnobotryella","DOM","paramo",5,1,6.22764719488977e-05
"Capronia","DOM","paramo",5,0,0
"Carcinomyces","DOM","paramo",5,0,0
"Carlosrosaea","DOM","paramo",5,0,0
"Catenulostroma","DOM","paramo",5,1,9.46874979162082e-05
"Cephalotheca","DOM","paramo",5,0,0
"Ceratobasidium","DOM","paramo",5,0,0
"Ceriporia","DOM","paramo",5,0,0
"Chaetocapnodium","DOM","paramo",5,0,0
"Chaetosphaeria","DOM","paramo",5,1,0.00127628078177199
"Chalara","DOM","paramo",5,0,0
"Chloridium","DOM","paramo",5,1,9.69924868127523e-05
"Chromocyphella","DOM","paramo",5,0,0
"Cladia","DOM","paramo",5,0,0
"Cladophialophora","DOM","paramo",5,4,0.00801383877819612
"Cladosporium","DOM","paramo",5,0,0
"Clathrosphaerina","DOM","paramo",5,0,0
"Clathrus","DOM","paramo",5,0,0
"Clavaria","DOM","paramo",5,0,0
"Clavulinopsis","DOM","paramo",5,0,0
"Clitopilus","DOM","paramo",5,0,0
"Clohesyomyces","DOM","paramo",5,0,0
"Clonostachys","DOM","paramo",5,0,0
"Clypeosphaeria","DOM","paramo",5,0,0
"Codinaea","DOM","paramo",5,0,0
"Colacogloea","DOM","paramo",5,0,0
"Coleophoma","DOM","paramo",5,0,0
"Collarina","DOM","paramo",5,0,0
"Colletotrichum","DOM","paramo",5,0,0
"Collybiopsis","DOM","paramo",5,0,0
"Colpoma","DOM","paramo",5,1,0.000241988576715717
"Coniella","DOM","paramo",5,0,0
"Coniochaeta","DOM","paramo",5,2,0.0661632757989129
"Conlarium","DOM","paramo",5,0,0
"Coprinellus","DOM","paramo",5,0,0
"Coprinopsis","DOM","paramo",5,0,0
"Cora","DOM","paramo",5,0,0
"Cordyceps","DOM","paramo",5,0,0
"Cortinarius","DOM","paramo",5,0,0
"Cotylidia","DOM","paramo",5,0,0
"Crocicreas","DOM","paramo",5,0,0
"Cryptocoryneum","DOM","paramo",5,0,0
"Cryptodiscus","DOM","paramo",5,0,0
"Cudoniella","DOM","paramo",5,0,0
"Curvibasidium","DOM","paramo",5,1,5.22267236684051e-06
"Cutaneotrichosporon","DOM","paramo",5,0,0
"Cyathicula","DOM","paramo",5,0,0
"Cylindrocladiella","DOM","paramo",5,0,0
"Cylindrodendrum","DOM","paramo",5,0,0
"Cylindrosympodioides","DOM","paramo",5,0,0
"Cyphellophora","DOM","paramo",5,0,0
"Cyphellostereum","DOM","paramo",5,0,0
"Cystoderma","DOM","paramo",5,0,0
"Cystofilobasidium","DOM","paramo",5,0,0
"Cystolepiota","DOM","paramo",5,0,0
"Dactylonectria","DOM","paramo",5,0,0
"Dendrochytridium","DOM","paramo",5,0,0
"Derxomyces","DOM","paramo",5,0,0
"Devriesia","DOM","paramo",5,0,0
"Diaporthe","DOM","paramo",5,1,0.00010994923620371
"Dictyochaeta","DOM","paramo",5,0,0
"Dictyolus","DOM","paramo",5,0,0
"Dictyosporium","DOM","paramo",5,0,0
"Dinemasporium","DOM","paramo",5,0,0
"Dioszegia","DOM","paramo",5,1,1.26836328908984e-05
"Dissoderma","DOM","paramo",5,0,0
"Dissophora","DOM","paramo",5,0,0
"Dominikia","DOM","paramo",5,0,0
"Dothiorella","DOM","paramo",5,0,0
"Durella","DOM","paramo",5,0,0
"Endoradiciella","DOM","paramo",5,0,0
"Entoloma","DOM","paramo",5,2,0.000235728105861291
"Eocronartium","DOM","paramo",5,0,0
"Epicoccum","DOM","paramo",5,0,0
"Exophiala","DOM","paramo",5,0,0
"Farysia","DOM","paramo",5,0,0
"Fellhanera","DOM","paramo",5,0,0
"Fellozyma","DOM","paramo",5,0,0
"Filobasidium","DOM","paramo",5,0,0
"Flagelloscypha","DOM","paramo",5,0,0
"Flavocillium","DOM","paramo",5,0,0
"Flexuomyces","DOM","paramo",5,0,0
"Fulvoflamma","DOM","paramo",5,0,0
"Funiliomyces","DOM","paramo",5,2,0.000131886843157284
"Fusarium","DOM","paramo",5,0,0
"Fusidium","DOM","paramo",5,0,0
"Galerina","DOM","paramo",5,0,0
"Genolevuria","DOM","paramo",5,0,0
"Geoglossum","DOM","paramo",5,0,0
"Glomerobolus","DOM","paramo",5,0,0
"Glomus","DOM","paramo",5,0,0
"Glutinoglossum","DOM","paramo",5,0,0
"Gorgomyces","DOM","paramo",5,0,0
"Gremmenia","DOM","paramo",5,0,0
"Gryganskiella","DOM","paramo",5,2,0.00259267149299095
"Gymnopilus","DOM","paramo",5,0,0
"Gymnopus","DOM","paramo",5,0,0
"Gyoerffyella","DOM","paramo",5,3,0.000418870311326986
"Gyromitra","DOM","paramo",5,0,0
"Hannaella","DOM","paramo",5,0,0
"Hansfordia","DOM","paramo",5,0,0
"Haptocillium","DOM","paramo",5,1,2.31312610095906e-05
"Harknessia","DOM","paramo",5,0,0
"Helicoon","DOM","paramo",5,0,0
"Helicosporium","DOM","paramo",5,0,0
"Hemibeltrania","DOM","paramo",5,0,0
"Henningsia","DOM","paramo",5,0,0
"Hyalorbilia","DOM","paramo",5,0,0
"Hyaloscypha","DOM","paramo",5,0,0
"Hygrocybe","DOM","paramo",5,2,0.00123071919179353
"Hyphodontia","DOM","paramo",5,0,0
"Hypochnicium","DOM","paramo",5,0,0
"Ilyonectria","DOM","paramo",5,0,0
"Infundichalara","DOM","paramo",5,0,0
"Jalapriya","DOM","paramo",5,0,0
"Juncaceicola","DOM","paramo",5,0,0
"Knufia","DOM","paramo",5,2,6.76780993077489e-05
"Kockovaella","DOM","paramo",5,0,0
"Krasilnikovozyma","DOM","paramo",5,0,0
"Kurtzmanomyces","DOM","paramo",5,0,0
"Laburnicola","DOM","paramo",5,0,0
"Lachnellula","DOM","paramo",5,0,0
"Lachnum","DOM","paramo",5,2,0.00199991926688182
"Lapidomyces","DOM","paramo",5,0,0
"Lecanicillium","DOM","paramo",5,0,0
"Lecophagus","DOM","paramo",5,0,0
"Leohumicola","DOM","paramo",5,0,0
"Leptobacillium","DOM","paramo",5,0,0
"Leptodontidium","DOM","paramo",5,0,0
"Leucosporidium","DOM","paramo",5,0,0
"Liangia","DOM","paramo",5,0,0
"Libkindia","DOM","paramo",5,0,0
"Linnemannia","DOM","paramo",5,1,0.00022071522401595
"Lithohypha","DOM","paramo",5,0,0
"Luellia","DOM","paramo",5,0,0
"Lunasporangiospora","DOM","paramo",5,0,0
"Maasoglossum","DOM","paramo",5,0,0
"Malassezia","DOM","paramo",5,0,0
"Marasmiellus","DOM","paramo",5,0,0
"Marchantiana","DOM","paramo",5,1,9.69924868127523e-06
"Mariannaea","DOM","paramo",5,0,0
"Martininia","DOM","paramo",5,0,0
"Megalaria","DOM","paramo",5,0,0
"Melanconiella","DOM","paramo",5,0,0
"Metapochonia","DOM","paramo",5,2,0.000813645784988779
"Metarhizium","DOM","paramo",5,0,0
"Micarea","DOM","paramo",5,0,0
"Microcera","DOM","paramo",5,0,0
"Microdochium","DOM","paramo",5,0,0
"Microscypha","DOM","paramo",5,0,0
"Mollisia","DOM","paramo",5,0,0
"Morchella","DOM","paramo",5,0,0
"Mortierella","DOM","paramo",5,5,0.0011122601225068
"Mucor","DOM","paramo",5,1,4.6676935592497e-05
"Mycena","DOM","paramo",5,0,0
"Myrmecridium","DOM","paramo",5,0,0
"Naganishia","DOM","paramo",5,0,0
"Nagrajchalara","DOM","paramo",5,0,0
"Nakataea","DOM","paramo",5,0,0
"Nectriopsis","DOM","paramo",5,0,0
"Neoascochyta","DOM","paramo",5,0,0
"Neochalara","DOM","paramo",5,0,0
"Neocoleroa","DOM","paramo",5,1,8.20705657646365e-06
"Neofabraea","DOM","paramo",5,0,0
"Neokalmusia","DOM","paramo",5,0,0
"Neonectria","DOM","paramo",5,0,0
"Neophaeomoniella","DOM","paramo",5,1,1.86524013101447e-05
"Neophaeosphaeria","DOM","paramo",5,0,0
"Neopyrenochaeta","DOM","paramo",5,0,0
"Neosorocybe","DOM","paramo",5,0,0
"Neovaginatispora","DOM","paramo",5,0,0
"Neptunomyces","DOM","paramo",5,1,0.000212046650263058
"Nigrograna","DOM","paramo",5,0,0
"Nigrospora","DOM","paramo",5,1,0.000202044449778951
"Normandina","DOM","paramo",5,0,0
"Obeliospora","DOM","paramo",5,0,0
"Occultifur","DOM","paramo",5,0,0
"Occultitheca","DOM","paramo",5,0,0
"Oidiodendron","DOM","paramo",5,0,0
"Oliveonia","DOM","paramo",5,1,0.000759772957776552
"Ophiocordyceps","DOM","paramo",5,0,0
"Orbilia","DOM","paramo",5,0,0
"Ovicillium","DOM","paramo",5,0,0
"Papiliotrema","DOM","paramo",5,0,0
"Paraphaeosphaeria","DOM","paramo",5,1,0.000200710823047737
"Pectenia","DOM","paramo",5,0,0
"Pellidiscus","DOM","paramo",5,0,0
"Penicillium","DOM","paramo",5,1,0.000821514066427947
"Peniophorella","DOM","paramo",5,0,0
"Periconia","DOM","paramo",5,0,0
"Pestalotiopsis","DOM","paramo",5,3,0.00017383864896486
"Pezicula","DOM","paramo",5,2,0.0151886284092701
"Pezizellaster","DOM","paramo",5,0,0
"Pezoloma","DOM","paramo",5,1,0.000625228491916049
"Phaeosphaeria","DOM","paramo",5,0,0
"Phaeotremella","DOM","paramo",5,1,0.000185031820996635
"Phialocephala","DOM","paramo",5,0,0
"Pholiota","DOM","paramo",5,0,0
"Phylloscypha","DOM","paramo",5,0,0
"Pilidium","DOM","paramo",5,0,0
"Piptocephalis","DOM","paramo",5,0,0
"Piskurozyma","DOM","paramo",5,0,0
"Placynthiella","DOM","paramo",5,0,0
"Plectosphaerella","DOM","paramo",5,0,0
"Pleuroascus","DOM","paramo",5,0,0
"Pochonia","DOM","paramo",5,0,0
"Podila","DOM","paramo",5,0,0
"Podospora","DOM","paramo",5,1,8.95315262886944e-06
"Polydesmia","DOM","paramo",5,0,0
"Polylobatispora","DOM","paramo",5,0,0
"Polyscytalum","DOM","paramo",5,1,0.000100022004841065
"Porpidia","DOM","paramo",5,1,0.000162648939424461
"Preussia","DOM","paramo",5,2,0.000208860163858039
"Protomerulius","DOM","paramo",5,0,0
"Psathyrella","DOM","paramo",5,0,0
"Pseudoanungitea","DOM","paramo",5,0,0
"Pseudoarthrographis","DOM","paramo",5,0,0
"Pseudocercospora","DOM","paramo",5,1,4.47657631443472e-06
"Pseudocladosporium","DOM","paramo",5,1,2.49105887795591e-05
"Pseudoconlarium","DOM","paramo",5,0,0
"Pseudodactylaria","DOM","paramo",5,0,0
"Pseudogymnoascus","DOM","paramo",5,0,0
"Pseudohelotium","DOM","paramo",5,0,0
"Pseudopenidiella","DOM","paramo",5,0,0
"Pseudophialocephala","DOM","paramo",5,0,0
"Pseudophialophora","DOM","paramo",5,0,0
"Pseudoplectania","DOM","paramo",5,0,0
"Pseudorobillarda","DOM","paramo",5,0,0
"Pseudosigmoidea","DOM","paramo",5,0,0
"Psilocybe","DOM","paramo",5,0,0
"Psoroglaena","DOM","paramo",5,0,0
"Puccinia","DOM","paramo",5,0,0
"Pycnora","DOM","paramo",5,0,0
"Pyrenochaetopsis","DOM","paramo",5,0,0
"Rachicladosporium","DOM","paramo",5,0,0
"Ramariopsis","DOM","paramo",5,0,0
"Ramicandelaber","DOM","paramo",5,0,0
"Ramichloridium","DOM","paramo",5,0,0
"Recurvomyces","DOM","paramo",5,1,4.32735710395356e-05
"Renatobasidium","DOM","paramo",5,0,0
"Rhexocercosporidium","DOM","paramo",5,0,0
"Rhexodenticula","DOM","paramo",5,0,0
"Rhizoglomus","DOM","paramo",5,0,0
"Rhizophagus","DOM","paramo",5,0,0
"Rhodosporidiobolus","DOM","paramo",5,0,0
"Rhodotorula","DOM","paramo",5,0,0
"Rickenella","DOM","paramo",5,0,0
"Saitozyma","DOM","paramo",5,0,0
"Sakaguchia","DOM","paramo",5,0,0
"Sarcoleotia","DOM","paramo",5,0,0
"Sarcopodium","DOM","paramo",5,0,0
"Sarocladium","DOM","paramo",5,0,0
"Sawadaea","DOM","paramo",5,1,3.20278998594331e-05
"Schizothecium","DOM","paramo",5,0,0
"Sclerococcum","DOM","paramo",5,0,0
"Scutellinia","DOM","paramo",5,0,0
"Scytalidium","DOM","paramo",5,0,0
"Seiridium","DOM","paramo",5,0,0
"Septoriella","DOM","paramo",5,1,0.000128028166196563
"Serendipita","DOM","paramo",5,3,0.000749024323877195
"Setophoma","DOM","paramo",5,0,0
"Sistotrema","DOM","paramo",5,3,0.000117800172300723
"Slooffia","DOM","paramo",5,0,0
"Solicoccozyma","DOM","paramo",5,0,0
"Sordaria","DOM","paramo",5,1,4.98211775591182e-05
"Spirosphaera","DOM","paramo",5,0,0
"Sporidesmiella","DOM","paramo",5,0,0
"Stachybotrys","DOM","paramo",5,0,0
"Stagonospora","DOM","paramo",5,0,0
"Stemphylium","DOM","paramo",5,0,0
"Sympodiella","DOM","paramo",5,2,0.000922586300921819
"Sympoventuria","DOM","paramo",5,1,2.0890689467362e-05
"Taeniospora","DOM","paramo",5,0,0
"Talaromyces","DOM","paramo",5,0,0
"Tausonia","DOM","paramo",5,0,0
"Teichospora","DOM","paramo",5,1,0.00014234622159748
"Tephrocybe","DOM","paramo",5,0,0
"Teratosphaeria","DOM","paramo",5,0,0
"Terramyces","DOM","paramo",5,0,0
"Tetracladium","DOM","paramo",5,0,0
"Tetraploa","DOM","paramo",5,0,0
"Thelebolus","DOM","paramo",5,0,0
"Thoreauomyces","DOM","paramo",5,0,0
"Tilletiaria","DOM","paramo",5,0,0
"Tolypocladium","DOM","paramo",5,3,0.00508690117407967
"Trechispora","DOM","paramo",5,1,2.06712143338201e-05
"Tremella","DOM","paramo",5,0,0
"Tricellula","DOM","paramo",5,0,0
"Trichoderma","DOM","paramo",5,2,0.000358519324594988
"Trichomerium","DOM","paramo",5,0,0
"Triscelophorus","DOM","paramo",5,0,0
"Tubaria","DOM","paramo",5,0,0
"Tulasnella","DOM","paramo",5,0,0
"Umbelopsis","DOM","paramo",5,0,0
"Usnea","DOM","paramo",5,0,0
"Vanrija","DOM","paramo",5,0,0
"Vermiculariopsiella","DOM","paramo",5,0,0
"Verrucaria","DOM","paramo",5,0,0
"Vertexicola","DOM","paramo",5,0,0
"Verticillium","DOM","paramo",5,0,0
"Vishniacozyma","DOM","paramo",5,0,0
"Volutella","DOM","paramo",5,0,0
"Wojnowiciella","DOM","paramo",5,0,0
"Xenasmatella","DOM","paramo",5,0,0
"Xenochalara","DOM","paramo",5,0,0
"Xylodon","DOM","paramo",5,1,8.20180439696733e-05
"Xylolentia","DOM","paramo",5,0,0
"Yamadamyces","DOM","paramo",5,0,0
"Absconditella","MA","paramo",5,1,7.98191732910534e-06
"Acanthobasidium","MA","paramo",5,0,0
"Acaulospora","MA","paramo",5,0,0
"Acephala","MA","paramo",5,0,0
"Acidomelania","MA","paramo",5,0,0
"Acremonium","MA","paramo",5,0,0
"Acrodictys","MA","paramo",5,0,0
"Acrodontium","MA","paramo",5,1,0.000102690490860546
"Ainoa","MA","paramo",5,0,0
"Alfaria","MA","paramo",5,0,0
"Angustimassarina","MA","paramo",5,0,0
"Apenidiella","MA","paramo",5,0,0
"Aphanobasidium","MA","paramo",5,0,0
"Aphanocladium","MA","paramo",5,1,0.00011259704087075
"Apiotrichum","MA","paramo",5,1,4.06352154936272e-05
"Apodus","MA","paramo",5,0,0
"Arachnopeziza","MA","paramo",5,2,0.0217351650335966
"Archaeorhizomyces","MA","paramo",5,0,0
"Arcopilus","MA","paramo",5,0,0
"Arrhenia","MA","paramo",5,0,0
"Arthrinium","MA","paramo",5,0,0
"Arthroderma","MA","paramo",5,0,0
"Ascocoryne","MA","paramo",5,0,0
"Aspergillus","MA","paramo",5,0,0
"Asterostroma","MA","paramo",5,0,0
"Athelia","MA","paramo",5,1,0.00028753337440953
"Athelopsis","MA","paramo",5,2,0.00610208468259165
"Atheniella","MA","paramo",5,1,0.000818646749328526
"Atractospora","MA","paramo",5,0,0
"Aureobasidium","MA","paramo",5,0,0
"Auricularia","MA","paramo",5,0,0
"Bandoniozyma","MA","paramo",5,0,0
"Bannoa","MA","paramo",5,0,0
"Basidiobolus","MA","paramo",5,0,0
"Basidiodendron","MA","paramo",5,0,0
"Beauveria","MA","paramo",5,1,7.82305668160159e-05
"Bimuria","MA","paramo",5,0,0
"Bjerkandera","MA","paramo",5,0,0
"Blastenia","MA","paramo",5,0,0
"Botryobasidium","MA","paramo",5,0,0
"Botrytis","MA","paramo",5,0,0
"Brocchiosphaera","MA","paramo",5,0,0
"Brunneochlamydosporium","MA","paramo",5,0,0
"Bryochiton","MA","paramo",5,0,0
"Cadophora","MA","paramo",5,0,0
"Calophoma","MA","paramo",5,0,0
"Calycina","MA","paramo",5,0,0
"Calyptrozyma","MA","paramo",5,0,0
"Camarophyllopsis","MA","paramo",5,0,0
"Camposporium","MA","paramo",5,0,0
"Camptophora","MA","paramo",5,0,0
"Candida","MA","paramo",5,0,0
"Capnobotryella","MA","paramo",5,0,0
"Capronia","MA","paramo",5,3,0.0217522634432041
"Carcinomyces","MA","paramo",5,0,0
"Carlosrosaea","MA","paramo",5,0,0
"Catenulostroma","MA","paramo",5,0,0
"Cephalotheca","MA","paramo",5,3,0.00241442091610356
"Ceratobasidium","MA","paramo",5,0,0
"Ceriporia","MA","paramo",5,0,0
"Chaetocapnodium","MA","paramo",5,0,0
"Chaetosphaeria","MA","paramo",5,0,0
"Chalara","MA","paramo",5,0,0
"Chloridium","MA","paramo",5,1,0.00023547591890798
"Chromocyphella","MA","paramo",5,1,2.05380981721093e-05
"Cladia","MA","paramo",5,0,0
"Cladophialophora","MA","paramo",5,4,0.00356176814155096
"Cladosporium","MA","paramo",5,0,0
"Clathrosphaerina","MA","paramo",5,0,0
"Clathrus","MA","paramo",5,0,0
"Clavaria","MA","paramo",5,2,0.00169887361302051
"Clavulinopsis","MA","paramo",5,0,0
"Clitopilus","MA","paramo",5,0,0
"Clohesyomyces","MA","paramo",5,0,0
"Clonostachys","MA","paramo",5,0,0
"Clypeosphaeria","MA","paramo",5,0,0
"Codinaea","MA","paramo",5,0,0
"Colacogloea","MA","paramo",5,1,2.5397009683517e-05
"Coleophoma","MA","paramo",5,0,0
"Collarina","MA","paramo",5,0,0
"Colletotrichum","MA","paramo",5,0,0
"Collybiopsis","MA","paramo",5,0,0
"Colpoma","MA","paramo",5,0,0
"Coniella","MA","paramo",5,0,0
"Coniochaeta","MA","paramo",5,1,0.00765973812054872
"Conlarium","MA","paramo",5,0,0
"Coprinellus","MA","paramo",5,0,0
"Coprinopsis","MA","paramo",5,0,0
"Cora","MA","paramo",5,0,0
"Cordyceps","MA","paramo",5,0,0
"Cortinarius","MA","paramo",5,0,0
"Cotylidia","MA","paramo",5,0,0
"Crocicreas","MA","paramo",5,0,0
"Cryptocoryneum","MA","paramo",5,0,0
"Cryptodiscus","MA","paramo",5,1,0.000995661759476566
"Cudoniella","MA","paramo",5,0,0
"Curvibasidium","MA","paramo",5,0,0
"Cutaneotrichosporon","MA","paramo",5,0,0
"Cyathicula","MA","paramo",5,0,0
"Cylindrocladiella","MA","paramo",5,0,0
"Cylindrodendrum","MA","paramo",5,0,0
"Cylindrosympodioides","MA","paramo",5,0,0
"Cyphellophora","MA","paramo",5,0,0
"Cyphellostereum","MA","paramo",5,0,0
"Cystoderma","MA","paramo",5,0,0
"Cystofilobasidium","MA","paramo",5,0,0
"Cystolepiota","MA","paramo",5,0,0
"Dactylonectria","MA","paramo",5,0,0
"Dendrochytridium","MA","paramo",5,0,0
"Derxomyces","MA","paramo",5,0,0
"Devriesia","MA","paramo",5,0,0
"Diaporthe","MA","paramo",5,0,0
"Dictyochaeta","MA","paramo",5,0,0
"Dictyolus","MA","paramo",5,0,0
"Dictyosporium","MA","paramo",5,0,0
"Dinemasporium","MA","paramo",5,0,0
"Dioszegia","MA","paramo",5,0,0
"Dissoderma","MA","paramo",5,1,1.01588038734068e-05
"Dissophora","MA","paramo",5,0,0
"Dominikia","MA","paramo",5,0,0
"Dothiorella","MA","paramo",5,0,0
"Durella","MA","paramo",5,0,0
"Endoradiciella","MA","paramo",5,0,0
"Entoloma","MA","paramo",5,1,2.51021199881335e-05
"Eocronartium","MA","paramo",5,0,0
"Epicoccum","MA","paramo",5,0,0
"Exophiala","MA","paramo",5,1,9.12804363204856e-06
"Farysia","MA","paramo",5,0,0
"Fellhanera","MA","paramo",5,0,0
"Fellozyma","MA","paramo",5,0,0
"Filobasidium","MA","paramo",5,1,5.0794019367034e-06
"Flagelloscypha","MA","paramo",5,0,0
"Flavocillium","MA","paramo",5,0,0
"Flexuomyces","MA","paramo",5,0,0
"Fulvoflamma","MA","paramo",5,0,0
"Funiliomyces","MA","paramo",5,0,0
"Fusarium","MA","paramo",5,0,0
"Fusidium","MA","paramo",5,0,0
"Galerina","MA","paramo",5,0,0
"Genolevuria","MA","paramo",5,1,1.97538668194299e-05
"Geoglossum","MA","paramo",5,0,0
"Glomerobolus","MA","paramo",5,0,0
"Glomus","MA","paramo",5,0,0
"Glutinoglossum","MA","paramo",5,0,0
"Gorgomyces","MA","paramo",5,0,0
"Gremmenia","MA","paramo",5,0,0
"Gryganskiella","MA","paramo",5,0,0
"Gymnopilus","MA","paramo",5,0,0
"Gymnopus","MA","paramo",5,0,0
"Gyoerffyella","MA","paramo",5,0,0
"Gyromitra","MA","paramo",5,0,0
"Hannaella","MA","paramo",5,0,0
"Hansfordia","MA","paramo",5,0,0
"Haptocillium","MA","paramo",5,0,0
"Harknessia","MA","paramo",5,0,0
"Helicoon","MA","paramo",5,3,0.000405565183012736
"Helicosporium","MA","paramo",5,0,0
"Hemibeltrania","MA","paramo",5,1,5.02042399762671e-05
"Henningsia","MA","paramo",5,0,0
"Hyalorbilia","MA","paramo",5,0,0
"Hyaloscypha","MA","paramo",5,4,0.0871062593327878
"Hygrocybe","MA","paramo",5,0,0
"Hyphodontia","MA","paramo",5,0,0
"Hypochnicium","MA","paramo",5,0,0
"Ilyonectria","MA","paramo",5,1,0.000334257876395704
"Infundichalara","MA","paramo",5,0,0
"Jalapriya","MA","paramo",5,0,0
"Juncaceicola","MA","paramo",5,0,0
"Knufia","MA","paramo",5,0,0
"Kockovaella","MA","paramo",5,0,0
"Krasilnikovozyma","MA","paramo",5,0,0
"Kurtzmanomyces","MA","paramo",5,0,0
"Laburnicola","MA","paramo",5,0,0
"Lachnellula","MA","paramo",5,0,0
"Lachnum","MA","paramo",5,0,0
"Lapidomyces","MA","paramo",5,0,0
"Lecanicillium","MA","paramo",5,0,0
"Lecophagus","MA","paramo",5,0,0
"Leohumicola","MA","paramo",5,0,0
"Leptobacillium","MA","paramo",5,2,2.15688584134675e-05
"Leptodontidium","MA","paramo",5,0,0
"Leucosporidium","MA","paramo",5,0,0
"Liangia","MA","paramo",5,0,0
"Libkindia","MA","paramo",5,0,0
"Linnemannia","MA","paramo",5,1,1.36920654480728e-05
"Lithohypha","MA","paramo",5,0,0
"Luellia","MA","paramo",5,2,0.0217994961889888
"Lunasporangiospora","MA","paramo",5,0,0
"Maasoglossum","MA","paramo",5,0,0
"Malassezia","MA","paramo",5,0,0
"Marasmiellus","MA","paramo",5,0,0
"Marchantiana","MA","paramo",5,0,0
"Mariannaea","MA","paramo",5,0,0
"Martininia","MA","paramo",5,0,0
"Megalaria","MA","paramo",5,0,0
"Melanconiella","MA","paramo",5,0,0
"Metapochonia","MA","paramo",5,1,2.5397009683517e-05
"Metarhizium","MA","paramo",5,0,0
"Micarea","MA","paramo",5,0,0
"Microcera","MA","paramo",5,0,0
"Microdochium","MA","paramo",5,1,2.51021199881335e-05
"Microscypha","MA","paramo",5,0,0
"Mollisia","MA","paramo",5,2,8.7761478678517e-05
"Morchella","MA","paramo",5,0,0
"Mortierella","MA","paramo",5,5,0.0007540248032354
"Mucor","MA","paramo",5,0,0
"Mycena","MA","paramo",5,1,0.000158912717734006
"Myrmecridium","MA","paramo",5,0,0
"Naganishia","MA","paramo",5,0,0
"Nagrajchalara","MA","paramo",5,0,0
"Nakataea","MA","paramo",5,0,0
"Nectriopsis","MA","paramo",5,0,0
"Neoascochyta","MA","paramo",5,0,0
"Neochalara","MA","paramo",5,0,0
"Neocoleroa","MA","paramo",5,0,0
"Neofabraea","MA","paramo",5,0,0
"Neokalmusia","MA","paramo",5,0,0
"Neonectria","MA","paramo",5,0,0
"Neophaeomoniella","MA","paramo",5,0,0
"Neophaeosphaeria","MA","paramo",5,0,0
"Neopyrenochaeta","MA","paramo",5,0,0
"Neosorocybe","MA","paramo",5,1,1.08844327215073e-05
"Neovaginatispora","MA","paramo",5,0,0
"Neptunomyces","MA","paramo",5,0,0
"Nigrograna","MA","paramo",5,0,0
"Nigrospora","MA","paramo",5,0,0
"Normandina","MA","paramo",5,0,0
"Obeliospora","MA","paramo",5,0,0
"Occultifur","MA","paramo",5,0,0
"Occultitheca","MA","paramo",5,0,0
"Oidiodendron","MA","paramo",5,1,0.000120901785079297
"Oliveonia","MA","paramo",5,1,0.000109569956063173
"Ophiocordyceps","MA","paramo",5,0,0
"Orbilia","MA","paramo",5,0,0
"Ovicillium","MA","paramo",5,0,0
"Papiliotrema","MA","paramo",5,0,0
"Paraphaeosphaeria","MA","paramo",5,0,0
"Pectenia","MA","paramo",5,0,0
"Pellidiscus","MA","paramo",5,0,0
"Penicillium","MA","paramo",5,2,3.87653309039343e-05
"Peniophorella","MA","paramo",5,0,0
"Periconia","MA","paramo",5,0,0
"Pestalotiopsis","MA","paramo",5,0,0
"Pezicula","MA","paramo",5,1,0.0137293498657051
"Pezizellaster","MA","paramo",5,0,0
"Pezoloma","MA","paramo",5,0,0
"Phaeosphaeria","MA","paramo",5,0,0
"Phaeotremella","MA","paramo",5,2,0.000117822263211754
"Phialocephala","MA","paramo",5,1,0.00790839911812816
"Pholiota","MA","paramo",5,0,0
"Phylloscypha","MA","paramo",5,0,0
"Pilidium","MA","paramo",5,0,0
"Piptocephalis","MA","paramo",5,0,0
"Piskurozyma","MA","paramo",5,2,5.76484548413719e-05
"Placynthiella","MA","paramo",5,1,0.000218919018359763
"Plectosphaerella","MA","paramo",5,0,0
"Pleuroascus","MA","paramo",5,0,0
