"order","site","elev_100.trend","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value"
"helotiales","BEL",0.0278106312941659,0.0210542176815234,Inf,-0.0134548770842864,0.0690761396726183,1.3209054696234,0.186532885780788
"helotiales","DOM",0.0565556645345922,0.0142321408435827,Inf,0.0286611810582685,0.0844501480109158,3.97379882311192,7.07353151754942e-05
"helotiales","MA",0.00960521921911095,0.0372489659848067,Inf,-0.0634014125724678,0.0826118510106897,0.2578653921032,0.796510794881472
"helotiales","NV",0.000119213100205684,0.0132958039748449,Inf,-0.0259400838359948,0.0261785100364062,0.00896621975107562,0.992846087546175
"sebacinales","BEL",-0.00528197916128992,0.00259489507420076,Inf,-0.0103678800503838,-0.000196078272196039,-2.03552706766642,0.0417978678453471
"sebacinales","DOM",-0.0219677602961053,0.0114642353899193,Inf,-0.0444372487706366,0.000501728178426093,-1.91619934072724,0.0553397272663645
"sebacinales","MA",0.000492164617417856,0.00985082242489354,Inf,-0.018815092553473,0.0197994217883087,0.0499617794524578,0.960152845841473
"sebacinales","NV",-0.0020719754284837,0.00665827805459509,Inf,-0.0151219606145435,0.0109780097575761,-0.311187879432845,0.755657796736253
