"Habitat","qTD","TD_obs","TD_asy","s.e.","qTD.LCL","qTD.UCL","Diversity_order"
"Forest","Species richness",2521,6172.22653658537,198.792342461358,5782.60070495875,6561.85236821198,"Species richness"
"Forest","Shannon diversity",1992.14859935676,4148.34918664797,91.9218799037587,3968.18561264538,4328.51276065055,"Shannon diversity"
"Forest","Simpson diversity",1428.11353822702,2101.86293487335,56.6847395352552,1990.76288691122,2212.96298283549,"Simpson diversity"
"Páramo","Species richness",901,2407.2455399061,130.249309700603,2151.96158388172,2662.52949593049,"Species richness"
"Páramo","Shannon diversity",765.977669352758,1859.85817371319,75.6760319070047,1711.53587668256,2008.18047074382,"Shannon diversity"
"Páramo","Simpson diversity",600.22719011268,1051.25776653652,50.4121143443424,952.451838037091,1150.06369503594,"Simpson diversity"
"Subpáramo","Species richness",1533,4695.44468325792,202.950837377838,4297.66835136511,5093.22101515073,"Species richness"
"Subpáramo","Shannon diversity",1340.80520397083,3825.08649253441,127.254179161078,3575.67288449649,4074.50010057234,"Shannon diversity"
"Subpáramo","Simpson diversity",1066.50141643057,2128.87655181536,93.4267695000574,1945.76344840332,2311.9896552274,"Simpson diversity"
