"metric","family","F","p"
"TD q=0","gaussian",12.1527129776212,4.38784617984724e-05
"TD q=0","lognormal",7.65496252865516,0.00118346365573711
"TD q=0","gamma_log",9.21231521284261,0.000361161748205056
"TD q=1","gaussian",3.51118599227257,0.0368490436261952
"TD q=1","lognormal",1.91556903905898,0.157131972347781
"TD q=1","gamma_log",3.20762948306517,0.0482694330040965
"TD q=2","gaussian",1.95605324878788,0.151306900182457
"TD q=2","lognormal",1.02955061637763,0.364070916866102
"TD q=2","gamma_log",1.99986678029266,0.145254486574299
"PD q=0","gaussian",12.141134801316,4.4230259403662e-05
"PD q=0","lognormal",8.11671699087084,0.000827839466739649
"PD q=0","gamma_log",9.61321518013663,0.00026828673232147
"PD q=1","gaussian",3.41600954146437,0.0400923272693114
"PD q=1","lognormal",3.1843284029708,0.0492856700225703
"PD q=1","gamma_log",4.07428670290883,0.0224900326525136
"PD q=2","gaussian",4.80468622234797,0.0120105119479147
"PD q=2","lognormal",4.40109950328984,0.0169554978167037
"PD q=2","gamma_log",4.5366374096442,0.0150940658739292
