"diversity","q","hel_assoc_slope","hel_assoc_p","seb_assoc_slope","seb_assoc_p","covariate","n_plants","df1","df2","F","p"
"PD",1,-0.0528433645229492,0.17775080964888,0.0183365094507628,0.526867742426975,"none",60,4,50,3.80860080566568,0.00885692413075378
"PD",1,-0.0528433645229492,0.17775080964888,0.0183365094507628,0.526867742426975,"Helotiales (logit)",60,4,49,3.1887765951521,0.0209321350063237
"PD",1,-0.0528433645229492,0.17775080964888,0.0183365094507628,0.526867742426975,"Sebacinales (logit)",60,4,49,3.60366560344005,0.0118483819174211
"PD",1,-0.0528433645229492,0.17775080964888,0.0183365094507628,0.526867742426975,"Helotiales + Sebacinales",60,4,48,3.11026638211722,0.0235295471829252
"PD",2,-0.103533327451579,1.26439240240326e-05,0.0500502592530553,0.00606649814018995,"none",60,4,50,7.27320365963105,0.000106965795152382
"PD",2,-0.103533327451579,1.26439240240326e-05,0.0500502592530553,0.00606649814018995,"Helotiales (logit)",60,4,49,4.51214851829957,0.00349775201100751
"PD",2,-0.103533327451579,1.26439240240326e-05,0.0500502592530553,0.00606649814018995,"Sebacinales (logit)",60,4,49,6.32544225371423,0.000347381822310703
"PD",2,-0.103533327451579,1.26439240240326e-05,0.0500502592530553,0.00606649814018995,"Helotiales + Sebacinales",60,4,48,4.26095064666841,0.00496028986024197
