"genus","order","n_OTUs","total_reads","plants_present","plants_present_forest","plants_present_subparamo","plants_present_paramo","absent_from","NV_paramo_vs_forest","DOM_paramo_vs_forest","converged","note","omnibus_chisq","omnibus_df","omnibus_p","subparamo_vs_forest_ratio","subparamo_vs_forest_lcl","subparamo_vs_forest_ucl","subparamo_vs_forest_p","subparamo_vs_forest_status","paramo_vs_forest_ratio","paramo_vs_forest_lcl","paramo_vs_forest_ucl","paramo_vs_forest_p","paramo_vs_forest_status","paramo_vs_subparamo_ratio","paramo_vs_subparamo_lcl","paramo_vs_subparamo_ucl","paramo_vs_subparamo_p","paramo_vs_subparamo_status","omnibus_q","subparamo_vs_forest_q","paramo_vs_forest_q","paramo_vs_subparamo_q","published_fig4C"
"Exophiala","Chaetothyriales",14,3842,13,8,3,2,"","higher in forest","forest only",TRUE,"",2.0318560754375,2,0.362066262720246,0.0588156393727203,0.000202838693392951,17.05433700522,0.327355904986433,"estimated",0.00590871590724059,1.40273920556793e-05,2.48891052120716,0.0960668790302974,"estimated",0.100461645410271,0.000676396854097245,14.9210365740228,0.367771260429304,"estimated",0.532050447510957,0.761939614421966,0.32514943671793,0.70356241125606,FALSE
"Trichoderma","Hypocreales",12,47001,20,11,2,7,"","higher in paramo","higher in paramo",TRUE,"",10.933517810169,2,0.00422490330390556,0.0112880007537471,0.000390486174755613,0.326308507839847,0.00898991999145662,"estimated",8.87931179267975,0.632504918891032,124.650695286063,0.105206378445072,"estimated",786.615095656533,15.0588171038544,41089.7685022259,0.000954322249810288,"estimated",0.0464739363429611,0.0827072639214009,0.330648617970228,0.0419901789916527,FALSE
"Mycena","Agaricales",20,13497,19,9,7,3,"","higher in forest","forest only",TRUE,"",1.37844047179493,2,0.50196733260621,0.611998747475164,0.0500812567854001,7.47869544320935,0.700620973163545,"estimated",0.0372286822104188,0.000567266420783773,2.44325193303245,0.123197395641281,"estimated",0.0608313045802918,0.00105932346372545,3.49321783539696,0.175510214608665,"estimated",0.627459165757763,0.86115123449982,0.338792838013523,0.502019576494806,FALSE
"Umbelopsis","Umbelopsidales",20,3563,15,10,4,1,"","forest only","absent",TRUE,"",3.53325655705828,2,0.170908273525906,1.07307975281481,0.0177105127444522,65.0178892342797,0.973129483676855,"estimated",0.00379567065905759,3.38080639474295e-06,4.26144359358562,0.119841461338457,"estimated",0.00353717479907818,3.22720221439568e-06,3.87692023246107,0.11398540085542,"estimated",0.430816039613005,0.985697789458132,0.338792838013523,0.448473160498665,FALSE
"Archaeorhizomyces","Archaeorhizomycetales",15,22188,16,6,6,4,"","higher in forest","higher in forest",TRUE,"",2.48074284562375,2,0.289276753997626,0.334741076268196,0.00480657381101657,23.3121538432157,0.613215042257785,"estimated",0.0143018669891592,3.77009944582466e-05,5.42541124749726,0.160967377022902,"estimated",0.042725162829137,7.06310510181462e-05,25.8447171953776,0.334638162922525,"estimated",0.532050447510957,0.854784604359336,0.39493370650959,0.70356241125606,FALSE
"Microdochium","Xylariales",10,2251,20,12,6,2,"","higher in forest","absent",TRUE,"",2.00152798698775,2,0.367598491007571,1.91753347316499,0.0552641154278188,66.5338546042715,0.719013132267153,"estimated",0.0634560089470837,0.00133586812118863,3.01426840540929,0.16156378902665,"estimated",0.0330925169417493,0.00060094081033036,1.82233367864955,0.0956059129495829,"estimated",0.532050447510957,0.86115123449982,0.39493370650959,0.448473160498665,FALSE
"Luellia","Trechisporales",8,62059,11,6,3,2,"","absent","forest only",TRUE,"",2.17048048626185,2,0.337820617062242,0.0160473789398683,1.8529235100642e-07,1389.79493455078,0.476237790046136,"estimated",0.000402911825535228,4.32696889545705e-09,37.5177042124271,0.180561502898238,"estimated",0.025107640758344,3.13016364813088e-06,201.393184291334,0.421794296018087,"estimated",0.532050447510957,0.761939614421966,0.402857419048499,0.742007646956359,FALSE
"Trechispora","Trechisporales",26,5405,20,9,6,5,"","higher in forest","higher in forest",TRUE,"",1.67819808577747,2,0.432099651362639,1.02154964899455,0.0992815354519888,10.5111557814851,0.985697789458132,"estimated",0.146836481120585,0.00871278648987496,2.47463336935107,0.183117008658409,"estimated",0.143738957049329,0.00731564662110215,2.82420527449097,0.201724633384561,"estimated",0.565844781546313,0.985697789458132,0.402857419048499,0.502019576494806,FALSE
"Capronia","Chaetothyriales",19,102051,21,10,6,5,"","higher in paramo","absent",TRUE,"",3.05183778589804,2,0.217421178258106,16.1942540985618,0.857884985218181,305.698165054246,0.0632110442331851,"estimated",26.323282078445,0.184826583855209,3749.00171246041,0.19613280993829,"estimated",1.62547048590418,0.0214579716669607,123.131596105784,0.825852290727115,"estimated",0.498256866841493,0.290770803472651,0.410944935108799,0.908437519799827,TRUE
"Haptocillium","Hypocreales",12,2342,17,7,4,6,"","higher in paramo","higher in forest",TRUE,"",1.46885874922361,2,0.479779155045099,2.15177776002584,0.126784778494463,36.5197430127151,0.595822226918158,"estimated",8.85073588096343,0.296224757310694,264.446247996793,0.208380705892117,"estimated",4.11322026158369,0.0540305986881051,313.12962156807,0.522315127464415,"estimated",0.613671012266987,0.854784604359336,0.416761411784234,0.742007646956359,FALSE
"Sistotrema","Cantharellales",13,3615,17,9,2,6,"","higher in forest","higher in forest",TRUE,"",6.30479303987738,2,0.042749553848822,0.000680189666982691,4.14304772473007e-06,0.111670927734767,0.00507419673054463,"estimated",0.101927611586322,0.00219782945398897,4.72704466892832,0.243418214782956,"estimated",149.851749495801,0.641018652000672,35031.0349891796,0.0718343298090171,"estimated",0.217888164831917,0.0591847082919397,0.465669628280437,0.395088813949594,FALSE
"Athelopsis","Atheliales",35,173848,29,14,10,5,"","higher in forest","higher in forest",TRUE,"",0.936400922033613,2,0.626127996821464,0.380523494490897,0.0264174414386425,5.48115646232714,0.477752965971153,"estimated",0.1310320769722,0.0021268546808309,8.07267433473216,0.333732234263593,"estimated",0.34434687705028,0.0119458995367787,9.92598099198943,0.534171891328423,"estimated",0.717438329691261,0.761939614421966,0.534309508673016,0.742007646956359,FALSE
